compound,ABL1,ABL2_ARG,ACK1,AKT1,AKT2,AKT3,ALK,ALK1_ACVRL1,ALK2_ACVR1,ALK4_ACVR1B,ALK5_TGFBR1,ARAF,ARK5_NUAK1,ASK1_MAP3K5,AURORA_A,AURORA_B,AURORA_C,AXL,BLK,BMX_ETK,BRAF,BRK,BRSK1,BRSK2,BTK,C_KIT,C_MER,C_MET,C_SRC,CAMK1A,CAMK1B,CAMK1D,CAMK1G,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CDK1_CYCLIN_A,CDK1_CYCLIN_B,CDK2_CYCLIN_A,CDK2_CYCLIN_E,CDK3_CYCLIN_E,CDK4_CYCLIN_D1,CDK4_CYCLIN_D3,CDK5_P25,CDK5_P35,CDK6_CYCLIN_D1,CDK6_CYCLIN_D3,CDK7_CYCLIN_H,CDK9_CYCLIN_K,CDK9_CYCLIN_T1,CHK1,CHK2,CK1A1,CK1D,CK1EPSILON,CK1G1,CK1G2,CK1G3,CK2A,CK2A2,CLK1,CLK2,CLK3,CLK4,COT1_MAP3K8,CSK,CTK_MATK,DAPK1,DAPK2,DCAMKL2,DDR2,DMPK,DRAK1_STK17A,DYRK1_DYRK1A,DYRK1B,DYRK2,DYRK3,DYRK4,EGFR,EPHA1,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHA8,EPHB1,EPHB2,EPHB3,EPHB4,ERBB2_HER2,ERBB4_HER4,ERK1,ERK2_MAPK1,FAK_PTK2,FER,FES_FPS,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT1_VEGFR1,FLT3,FLT4_VEGFR3,FMS,FRK_PTK5,FYN,GCK_MAP4K2,GRK2,GRK3,GRK4,GRK5,GRK6,GRK7,GSK3A,GSK3B,HASPIN,HCK,HGK_MAP4K4,HIPK1,HIPK2,HIPK3,HIPK4,IGF1R,IKKA_CHUK,IKKB_IKBKB,IKKE_IKBKE,IR,IRAK1,IRAK4,IRR_INSRR,ITK,JAK1,JAK2,JAK3,JNK1,JNK2,JNK3,KDR_VEGFR2,KHS_MAP4K5,LCK,LIMK1,LKB1,LOK_STK10,LRRK2,LYN,LYN_B,MAPKAPK2,MAPKAPK3,MAPKAPK5_PRAK,MARK1,MARK2_PAR_1BA,MARK3,MARK4,MEK1,MEK2,MEKK2,MEKK3,MELK,MINK_MINK1,MKK6,MLCK_MYLK,MLCK2_MYLK2,MLK1_MAP3K9,MLK2_MAP3K10,MLK3_MAP3K11,MNK1,MNK2,MRCKA_CDC42BPA,MRCKB_CDC42BPB,MSK1_RPS6KA5,MSK2_RPS6KA4,MSSK1_STK23,MST1_STK4,MST2_STK3,MST3_STK24,MST4,MUSK,MYO3B,NEK1,NEK11,NEK2,NEK3,NEK4,NEK6,NEK7,NEK9,NLK,OSR1_OXSR1,P38A_MAPK14,P38B_MAPK11,P38D_MAPK13,P38G,P70S6K_RPS6KB1,P70S6KB_RPS6KB2,PAK1,PAK2,PAK3,PAK4,PAK5,PAK6,PASK,PBK_TOPK,PDGFRA,PDGFRB,PDK1_PDPK1,PHKG1,PHKG2,PIM1,PIM2,PIM3,PKA,PKACG,PKCA,PKCB1,PKCB2,PKCD,PKCEPSILON,PKCETA,PKCG,PKCIOTA,PKCMU_PRKD1,PKCNU_PRKD3,PKCTHETA,PKCZETA,PKD2_PRKD2,PKG1A,PKG1B,PKG2_PRKG2,PKN1_PRK1,PKN2_PRK2,PLK1,PLK2,PLK3,PRKX,PYK2,RAF1,RET,RIPK2,RIPK5,ROCK1,ROCK2,RON_MST1R,ROS_ROS1,RSK1,RSK2,RSK3,RSK4,SGK1,SGK2,SGK3_SGKL,SIK2,SLK_STK2,SNARK_NUAK2,SRMS,SRPK1,SRPK2,STK16,STK22D_TSSK1,STK25_YSK1,STK33,STK38_NDR1,STK39_STLK3,SYK,TAK1,TAOK1,TAOK2_TAO1,TAOK3_JIK,TBK1,TEC,TGFBR2,TIE2_TEK,TLK2,TRKA,TRKB,TRKC,TSSK2,TXK,TYK1_LTK,TYK2,TYRO3_SKY,ULK1,ULK2,ULK3,VRK1,WEE1,WNK2,WNK3,YES_YES1,ZAK_MLTK,ZAP70,ZIPK_DAPK3,response
Control,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Akt Inhibitor VIII Isozyme Selective Akti-1/2 5uM,90.63,87.18,84.62,4.85,10.84,18.97,71.25,89.32,99.61,99.88,92.73,70.93,97.61,92.29,86.43,91.03,94.74,83.31,83.32,83.7,100,91.81,97.9,100,88,95.07,94.15,96.99,81.21,9.52,73.29,77.08,67.93,69.06,55.47,42.56,25.53,98.26,99.23,100,94.66,95.59,98.29,95.4,95.77,99.34,97.84,100,98.14,100,88.76,97.89,99.69,92.33,100,97.57,90.65,73.2,74.86,82.81,78.4,83.76,81.92,97.07,100,97.69,94.96,100,100,91.9,91.41,90.48,80.04,98.78,100,94.5,97.88,92.2,89.96,100,94.08,79.25,98.08,91.77,87.27,85.31,91.54,100,66.75,89.8,94.83,96.01,97.43,94.89,89.5,92.65,96.92,96.36,96.48,95.94,89.4,90.23,95.15,100,94.24,93.33,86.27,96.12,51.35,91.81,94.01,92.23,83.55,88.11,98.31,96.95,100,95.43,100,96.75,89.18,95.92,94.77,100,95.82,100,97.46,100,91.34,93.75,92.25,96.22,99.87,92.69,84.25,95.03,94.19,99.02,98.08,91.42,97.07,98.73,97.91,98.01,94.34,92.83,92.35,82.44,100,86.41,87.01,90.9,93.3,94.35,100,98.77,97.24,91.09,94.17,92.85,96.72,99.86,100,100,77.79,100,92.25,92,100,93.83,95.01,92.53,94.92,87.69,100,94.14,92.59,90.4,100,87.74,100,78.08,90.9,90.64,88.77,99.61,75.78,98.97,92.05,100,100,100,93.07,95.07,92.7,95.55,100,100,100,98,97.76,93.93,92.84,99.52,92.53,77.73,100,82.01,98.02,90.07,89.49,98.64,96.72,99.8,99.53,95.82,93.68,93.86,100,97.27,94.77,92.41,89.52,92.1,97.75,92.98,89.54,92.29,91.06,99.5,96.73,89.14,89.82,77.51,98.31,89.5,94.21,98.68,97.29,100,97.38,100,100,64.63,91.61,80.04,87.1,96.95,95.04,82.4,95.77,90.71,88.63,92.15,91.41,84.5,91.46,93.28,89.17,83.89,86.63,95.24,100,97.53,82.82,98.94,82.34,100,93.43,87.19,99.57,77.1,79.31,90.33,100,94.86,100,89.82,99.45,86.25,87.57,88.72,96.6,92.02,80.7,89.25,86.52,87.89,97.35,100,94.74,100,93.23,94.86,92.94,88.61,90.62,96.08,87.65863827
Aminopurvalanol A 0.5uM,45.51,21.32,47.82,100,100,100,79.65,100,99.42,100,100,82.39,61.55,95.58,80.45,87.79,91.9,93.08,79.65,81.89,97.45,85.6,93.13,88.25,33.03,86.15,79.7,100,3.75,95.31,100,100,100,83.93,98.18,87.31,100,97.43,86.84,33.25,25.85,17.04,4.07,7.97,31.91,71.96,76.51,3.31,0.13,56.42,51.08,54.7,65.68,67.6,96.19,96.28,75.51,65.73,82.72,26.43,35.19,13.4,99.27,100,51.91,17.65,85.46,16.49,100,79.28,100,95.33,100,100,100,99.74,96.3,57.1,38.27,93.22,100,91.62,93.9,76.89,67.54,86.64,61.35,63.98,100,80.2,92.5,59.19,73.62,95.33,58.39,92.91,100,100,95.41,59.53,54.9,69.19,76.66,97.27,79.4,93.39,15.02,97.54,8.35,80.7,71.09,70.29,18.92,90.71,82.99,97.09,100,100,72.14,79.32,100,100,99.88,27.31,86.05,99.16,94.27,99.42,96.41,72.99,97.26,100,88.44,85.03,97.08,86.76,70.76,80.24,100,99.95,100,93.42,99.83,94.57,100,82.48,70.17,100,60.25,55.6,100,23.07,85.68,92.77,98.41,95.81,87.47,74.12,85.2,71.16,91.33,87.5,83.07,100,51.5,94.49,92.54,81.3,99.49,7.81,95.08,17.71,99.14,100,99.4,98.45,100,89.3,37.69,63.64,70.01,75.92,67.82,46.04,100,81.49,84.23,94.41,100,80.18,100,89.01,69.42,93.91,100,98.92,96.29,100,100,95.54,98.17,81.76,95.47,100,100,44.34,57.26,100,75.63,89.42,98.07,100,81.1,100,98,100,93.01,100,100,66.15,98.81,97.34,87.61,100,99.45,100,89.55,94.21,89.2,100,100,100,100,100,88.77,93.33,97.96,54.95,92.01,62.84,100,63.57,100,61.6,87.72,93.12,90.01,100,100,96.55,37.21,54.06,48.67,46.12,93.09,100,99.91,100,39.77,81.43,96.83,62.14,30.98,73.98,91.25,81.81,56.22,100,83.66,81.1,51.27,79.91,82.15,86.85,86.62,100,93.49,92.45,100,45.35,3.04,4.42,100,42.54,100,57.92,100,41.52,74.89,100,85.84,70.75,100,76.9,7.03,92.26,100,96.72,100
AT7867 0.5uM,100,95.95,93.57,9.25,40.26,7.69,87.79,94.19,100,100,96.78,100,28.11,94.03,77.38,68.9,50.97,100,98.5,92.52,100,100,50.89,42.97,94.16,100,99,95.66,89.7,85.33,97.79,86.47,99.8,69.6,80.79,84.21,100,100,100,97.58,91.31,91.59,93.37,93.01,95.05,100,98.84,96.76,100,100,100,100,100,98.12,100,62.85,98.53,96.23,97.28,96.03,89.89,100,97.71,97.67,97.58,94.46,92.77,95.9,100,95.04,97.18,23.84,93.82,93.76,97.99,95.17,94.14,95.77,93.13,97.68,97.03,99.37,98.78,100,96.88,99.96,92.82,97.26,93.52,94.44,97.77,97.93,97.98,94.29,94.67,96.87,100,100,94.16,98.59,95.15,100,98.71,99.01,100,100,96.82,95.53,82.84,100,100,97.98,92.6,100,11.93,6.9,100,100,99.15,84.4,98.79,98.99,96.89,100,95.78,99.06,94.16,100,99.49,97.52,98.93,75.57,86.13,98.77,97.65,98.44,92.86,100,66.88,74.24,90.12,91.94,98.89,100,99.78,100,100,92.64,93.29,94.86,95.65,95.74,100,84.28,95.28,100,72.7,51.22,65.07,69.31,100,95.55,96.91,90.09,70.99,89.05,98.18,90.25,92.66,88.53,86.03,97.66,98.66,92.59,80.99,52.49,20.91,17.56,100,91.69,100,85.48,96.48,96.13,90.45,94.7,95.3,100,100,100,100,100,96.74,94.41,92.92,100,100,97.35,100,13.45,65.35,90.72,91.77,95.11,100,90.15,100,88.66,99.83,95,95.46,95.68,88.38,98.38,100,92.96,92.26,4.18,28.59,80.7,86.7,81.31,49.26,33.52,32.93,88.52,84.35,72.76,80.15,77.38,96.98,80.08,6.76,4.83,15.82,11.53,9.77,97.82,96.84,95.87,4.69,99.56,100,85.56,93.96,92.12,1.2,0.75,100,89.37,23.38,21,43.42,84.72,66.82,52.61,70.56,88.65,97.92,71.09,95.8,100,100,98.06,89.54,95.36,82.17,15.5,93.33,94.51,95.73,96.56,93.8,88.78,98,98.42,100,98.8,100,88.83,95.88,78.92,97.43,100,89.47,58.96,97.76,84.77,98.69,93.44,86.21,100,97.54,100,99.91,100,99.82,22.15,84.11188983
AZD3463 0.5uM,22.62,14.21,0,97.19,100,100,0.84,100,98.9,99.33,97.4,84.09,2.67,100,64.84,84.97,83.8,16,44.16,91.6,94.9,9.28,80.94,91.1,67.66,56.3,79.5,92.69,48.12,67.04,87.22,52.65,73.38,15.3,45.83,19.14,63.49,89.32,46.67,13.1,91.87,95.32,97.9,95.63,97.03,79.33,77.88,91.14,92.06,88.22,94.06,66.54,99.45,94.4,13.64,8.97,99.05,97.16,100,99.62,93.86,96.28,11.2,48.93,3.23,29.38,89.66,10,100,67.84,99,30.04,80.79,65.51,95.72,100,68.06,6.63,3.27,16.48,35.75,92.69,18.19,61.75,98.93,100,92.33,99.29,69.19,31.11,94.15,61.17,100,97.5,85.3,36.28,15.3,96.52,80.74,1.42,0.64,0.99,10.25,12.21,15.75,14.6,48.8,9.73,1.35,1.97,41.12,20.46,72.11,88.68,96.96,100,95.11,96.14,83.69,84.46,91,100,97.8,53.43,6.79,60.35,100,83.7,16.82,1.07,79.83,80.19,61.56,0.42,25.49,46.99,3.83,77.14,29.74,11.91,18.8,6.45,9.82,33.06,15.22,90.87,61.78,88.02,98.42,26.91,0,39.09,62.37,97.27,100,100,27.46,13.73,19,15.85,62.66,30.34,98.09,89.3,9.79,12.31,59.99,33.34,87.72,3.38,35.95,14.01,16.68,15.16,100,98.43,88.87,90.69,86.06,88.88,100,93.58,100,20.93,0,91.25,94.5,74.78,100,90.8,78.01,65.9,15,97.99,91.83,96.55,100,100,99.57,86.8,54.19,60.22,73.11,70.55,75.49,48.86,94.07,70.47,94.66,37.3,28.87,94.61,3.76,13.53,58.14,100,41.54,80.88,87.18,85.28,100,85.18,88,95.28,97,84.68,97.28,2.71,4.85,95.29,100,1.89,66.33,64.67,88.72,81.17,95.49,24.67,94.25,27.89,73.12,5.79,100,8.67,70.03,68.13,65.65,69.03,93,0,16.4,8.86,4.16,14.94,92.65,94.99,100,3.5,38.46,4.4,22.17,84.74,75.47,33.45,3.48,94.86,11.42,91.1,82.57,45.64,55.41,90.08,93.21,91.37,33.04,95.02,90.22,21.46,100,35.07,40.58,37.42,54.9,61.73,6.94,43.74,75.51,7.09,47.46,21.06,80.32,95.68,94.77,73.35,24.84,92.73,80.1,22.53,91.29331667
"Baricitinib (LY3009104, INCB028050) 0.5uM",86.81,89.03,4.94,85.44,93.17,83.3,35.95,95.37,100,100,93,96.64,65.98,93.13,58.75,92.36,83.93,93.44,89.49,92.84,100,93.75,97.43,88.23,97.1,97.66,90.52,97.15,79.56,67.88,92.54,49.48,87.11,15.56,63.45,41.72,74.18,98.7,99.56,88.32,91.82,98.01,84.67,91.64,100,100,97.01,94.51,95.14,96.43,99.71,94.75,100,93.94,85.8,71.04,100,99.33,97.12,95.76,95.22,95.14,81.67,19.92,85.33,91.47,92.55,66.98,100,92.57,100,34.19,77.75,58.61,98.26,97.35,75.01,86.64,83.72,94.33,91.12,96.52,97.11,100,94.92,96.36,98.04,99.43,92.73,96.58,94.98,93.87,95.05,94.17,88.53,98.49,99.46,99.54,96.91,91.58,86.2,93.77,96.07,90.66,100,94.54,86.21,100,83.04,100,94,100,67.13,74.54,95.73,95.73,100,93.91,92.69,75.39,83.37,82.53,97.13,93.96,93.25,98.34,99.4,95.99,94.16,96.2,100,90.74,69.96,97.74,54.66,100,99.42,95.81,1.05,0,4.44,96.27,98.8,100,99.02,96.84,85.96,62.93,96.35,93.31,34.35,78.5,96.64,95.76,92.6,94.07,48.71,24.67,40.86,40.19,94.95,90.81,80.38,69.75,72.67,92.83,92.98,89.6,93.58,92.66,88.31,81.73,86.92,59.62,100,92.68,43.28,52.47,100,96.61,97.44,97.09,96.24,100,95.71,84.21,81.9,100,85.08,95.83,87.55,100,100,94.39,91.65,100,100,94.27,91.52,41.27,81.9,99.36,93.06,95.23,95.35,95.03,100,92.85,97.87,99.61,95.32,86.92,68.28,95.61,96.85,97.58,93.28,12.23,33.98,63.4,87.06,68.71,40,73.83,45.61,81.03,97.23,88.1,86.65,96.43,96.95,89.8,91.52,94.38,53.07,19.19,58.72,90.86,97.72,94,54.6,96.8,100,40.01,74.41,99.19,18.05,12.28,95.35,81,85.76,86.27,78.14,79.55,92.56,92.73,93.02,58.77,99.02,65.44,96.93,100,94.85,92.92,14.92,91.49,83.82,12.7,91.28,95.63,94.62,93.2,77.55,91.86,94.67,93.07,100,99.87,89.21,100,56.13,37.62,90.23,92.65,54.04,1.35,97.73,40.7,86.84,70.34,97.01,94.58,96.31,89.67,82.97,87.71,98.96,35,100
"BIIB-057 (PRT062607, P505-15) 0.5uM",76.48,60.87,54.89,97.94,94.05,91.15,22.34,95.21,100,95.35,92.79,95.44,41.53,100,100,98.17,95.95,54.6,31.08,55.89,100,49.76,100,96.79,39.56,99.56,48.72,94.16,13.61,48.56,67.33,50.4,86.32,55.63,88.97,79.63,99.32,85.55,92.11,89.83,73.68,83.25,55.02,56.16,57.57,97.23,92.45,49.35,54.15,100,100,72.09,94.23,67.36,33.85,43.7,80.95,24.72,67.64,81.83,79.67,86.55,79.31,87,73.14,72.07,98.97,71.27,89.59,65.03,100,77.65,96.96,94.68,100,100,97.87,97.39,87.9,95.95,39.43,94.25,90.86,93.28,96.09,81.12,58.67,63.86,69.51,63.88,89.26,56.93,77.51,97,72.09,76.27,95.37,95.34,81.3,27.29,3.4,18.9,98.36,97.05,100,100,16.67,100,14.86,97.63,67,81,21.43,49.98,97.62,100,96.73,95.31,90.78,77.66,69.76,93.31,49.33,30.11,55.81,100,100,97.22,93.6,38.8,90.33,99.04,86.6,45.76,85.09,50.94,28.7,99.07,52.04,51.13,60.98,84.47,91.81,100,98.14,71.17,54.14,87.03,29.3,74.55,27.12,20.89,45.01,99.11,100,100,77.22,61.66,65.69,67.95,98.68,92.03,90.43,88.38,81.2,62.63,74.54,67.85,85.32,18.74,72.72,32.73,91.05,88.46,97.65,95.16,79.52,93.33,100,63.68,83.32,88.72,98.59,73.55,100,100,93.34,93.67,100,95.85,100,100,99.94,96.04,100,99.25,100,92.89,100,82.66,72.31,75.2,86.69,69.25,24.37,12.4,76.12,10.18,39.15,71.61,60.76,87.48,83.92,84.77,15.94,92.74,14.44,89.01,95.91,12.12,99.96,88.26,63.12,79.95,88.58,73.14,89.06,49.6,33.11,95.78,100,48.01,91.84,93.16,98.7,90.57,92.68,97.3,100,93.6,98.09,42.24,100,43.1,72.5,94.83,71.54,74.54,98.91,26.04,90.25,82.16,82.66,85.46,99.23,100,100,20.26,83.4,77.53,98.61,100,99.08,100,21.39,86.97,54.72,67.8,93.56,1.82,88.04,66.31,88.84,71.13,92.98,81.52,100,100,100,80.38,45.88,20.79,55.26,56.41,51.99,56.15,85.33,85.17,100,89.63,98.82,94.95,80.45,46.59,28.74,97.95,21.8,94.84,100
Bosutinib 0.5uM,5.25,0.64,34.03,91.05,96.53,93.8,70,94.72,100,100,98.91,99.14,83.47,100,100,91.88,100,62.53,4.49,26.65,100,95.17,100,100,5.21,72.87,24.98,93.25,1.57,98.32,95.86,75.37,100,85.93,98.05,88.46,100,99.54,100,100,90.29,96.86,94.8,92.05,98.12,99.01,96.89,94,100,98.9,89.27,100,100,100,89.32,67.19,94.35,89,94.06,95.27,93.88,100,97.88,97.02,94.07,96.52,94.92,87.67,100,10.26,100,100,100,100,64.33,91.27,100,100,95.11,100,96.11,100,26.15,100,4.95,15.64,10.92,14.7,69.55,97.24,10.27,6.03,7.34,68.06,4.17,71.59,22.02,100,99.46,100,72.4,88.21,100,96.31,100,100,3.4,100,89.7,100,89.54,4.14,5.08,38,98.81,96.82,100,92.52,100,97.94,100,100,96.4,9.12,8.87,95.58,98.34,95.11,100,95.32,98.56,95.58,81.54,95.44,95,92.68,98.98,100,100,92.68,98.79,97.17,98.72,100,100,1.75,3.81,97.08,97.9,30.6,79.61,0.47,5.06,98.47,100,100,88.16,87.04,93.85,96.77,89.51,51.93,100,96.76,97.81,9.12,99.95,91.19,100,90.21,85.67,93.23,96.97,97.94,95.78,96.41,100,92.93,100,66.03,100,30.96,33.76,99.46,86.24,100,98.03,92.22,100,100,100,100,94.64,92.93,95.73,94.59,100,97.98,100,99.38,97.25,96.85,94.26,100,94.61,100,100,92.65,95.63,96.28,90.36,94.49,79.76,98.38,97.86,98.08,92.85,99.88,100,95.36,98.03,100,96.34,99.13,98.1,89.02,100,96.33,95.23,90.23,100,95.41,88.22,100,93.03,93.61,96.83,95.91,96.33,93.48,93.5,92.27,100,92.21,100,100,93.15,92.27,98.55,100,96.9,97.4,86.3,96.35,90.22,92.54,91.41,7.92,63.09,100,94.19,100,98.83,100,95.37,42.43,82.1,98.12,90,84.01,98.38,96.92,98.16,96.09,88.22,73.71,92.9,99.76,92.95,73.83,49.31,6.03,98.46,35.13,94.59,97.13,71.88,89.68,98.3,93.17,100,96.94,100,99.73,3.24,74.67,100,100,89.23247165
Cdk1/2 Inhibitor III 0.5uM,4.96,10.52,6.41,100,100,96.41,16.69,15.06,60.36,92.15,81.76,100,2.13,1.12,1.44,12.91,16.21,34.18,38.62,77.51,87.21,34.84,2.61,9.03,84.12,78.44,14.79,40.43,41.55,100,89.08,93.42,95.87,14.28,9.5,15.59,15.6,98.79,35.99,5.4,0,0,1.56,8.92,0,87.75,3.67,0.16,11.3,2.89,7.69,43.56,7.46,15.59,100,1.96,90.16,83.7,91.76,16.71,14.81,20.81,76.55,81.92,2.26,3.81,4.64,1.92,100,76.78,100,81.29,83.04,40.44,100,78.38,11.14,15.25,14.08,60.39,98.52,96.5,95.15,37.4,29.92,85.87,54.79,56.75,100,14.23,98.47,19.41,81.4,90.43,50.97,100,97.96,78.89,76.24,25.31,21.66,10.17,6.59,7.43,4.96,32.19,17.1,11.41,1.07,3.75,10.58,70.63,24.77,2.13,97.77,88,92.22,75.61,89.37,96.58,6.3,9.03,85.35,37.94,4.46,100,62.07,78.15,50.59,0.62,54.36,49.27,67.17,88.41,16.89,19.65,86.54,61.02,4.86,3.16,5.21,78.76,80.93,100,6.55,1.71,23.57,0,23.52,3.96,1.33,27.23,56.07,91.13,89.61,52.2,2.68,3.43,0.29,2.33,94.61,96.59,0,5.41,32.74,3.06,62.74,78.84,66.62,0,3,1.33,23.35,17.21,54.62,48.1,68.09,42.76,48.65,2.16,1.33,2.88,4.54,8.02,100,6.11,100,98.28,19.56,60.54,78.81,82.63,39.07,45.1,67.56,95.42,78.46,77.1,95.22,30.05,96.15,28.96,26.42,35.4,47.62,43.78,81.91,91.75,100,56.38,45.58,19.31,26.02,95.54,90.69,100,89.09,78.23,100,46.22,75.21,74.46,22.2,11.55,45.74,92.98,78.86,7.79,7.37,15.14,83.71,9.05,91.3,85.09,61.45,9.7,19.1,92.06,88.49,92.17,76.27,33.61,100,3.09,19.69,17.82,0.17,6.22,56.03,1.68,5.34,0,2.08,2.42,48.66,42.01,98.4,16.09,4.58,9.73,93.96,25.9,17.1,42.48,13.7,8.18,35.12,100,76.55,15.54,12.46,11.3,11.45,10,10.26,100,89.25,5.06,100,31.75,11.82,3.59,91.33,85.84,27.62,5.11,29.78,5.03,4.73,100,94.6,100,97.91,82.15,10.54,49.14,86.91,94.2,29.79860437
"Cobimetinib (GDC-0973, RG7420) 0.5uM",100,100,100,100,100,99.61,93.89,99.96,100,100,100,100,100,100,95.59,100,100,100,100,97.54,100,100,100,100,93.71,97.16,96.4,100,96.93,100,99.92,100,100,93.79,94.01,96.84,100,100,94.27,100,97.1,98.32,95.07,98.1,100,99.61,100,100,92.02,100,94.79,99.21,96.05,100,100,97.62,100,100,100,97.93,90.29,100,100,99.76,90.84,99.75,100,99.02,100,97.75,100,100,100,100,98.34,85.1,100,100,97.41,100,95.32,100,99.09,100,100,64.86,99.66,97.04,92.5,100,100,95.91,98.46,100,94.88,94.04,100,100,100,100,98.63,100,94.18,95.95,84.82,99.21,100,95.39,100,100,97.67,6.67,95.54,92.85,99.28,100,100,93.67,99.8,100,94.08,100,100,100,100,76.99,100,90.29,100,100,88.73,97.81,96.84,100,92.68,68.92,100,100,100,97.02,100,100,100,100,94.52,100,100,100,89.26,100,100,98.68,83.41,100,100,99.53,95.38,99.56,100,97.12,65.04,52.89,97.45,86.06,96.2,94.95,100,100,100,100,84.86,100,89.77,100,97.56,100,100,100,100,100,100,100,100,91.27,100,100,100,86.44,76.64,100,96.56,99.91,100,95.44,93.91,100,100,95.68,98.95,100,96.73,99.5,96.38,100,90.6,100,100,94.86,92.5,98.04,100,100,100,100,99.96,87.66,62.37,96.92,93.2,99.57,99.44,94.24,97.31,100,100,89.19,97.44,100,100,100,100,97.82,100,100,100,100,99.66,100,100,99.76,95.66,93.3,100,94.75,100,100,96.45,99.78,100,100,95.03,100,100,99.22,95.98,96.14,97.98,100,100,100,94.03,100,99.09,84.39,100,97.83,91.26,100,100,95.72,99.25,100,100,100,100,94.74,100,100,100,100,100,98.41,100,100,99.78,100,100,85.27,100,100,97.79,93.78,96.53,100,100,100,99.18,100,100
